GENESIS-Tabelle: 31141-0003
Abgang von Gebäuden/Gebäudeteilen im Hochbau: Deutschland, Jahre, Gebäudeart, Eigentümer;;;;;;
Statistik des Bauabgangs;;;;;;
Deutschland;;;;;;
;;;Gebäude/Gebäudeteile;Nutzfläche;Wohnfläche;Wohnungen
2021;Wohngebäude;Wohnungsunternehmen;1146;84;400;5874
2021;Wohngebäude;Immobilienfonds;21;1;9;145
2021;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;58;3;10;73
2021;Wohngebäude;Produzierendes Gewerbe;75;6;15;140
2021;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;240;22;67;1001
2021;Wohngebäude;Private Haushalte;3687;167;523;5150
2021;Wohngebäude;Organisationen ohne Erwerbszweck;93;12;36;830
2021;Nichtwohngebäude;Öffentliche Eigentümer;745;824;13;224
2021;Nichtwohngebäude;Unternehmen;3368;3527;80;892
2021;Nichtwohngebäude;Wohnungsunternehmen;1087;1281;32;365
2021;Nichtwohngebäude;Immobilienfonds;104;224;3;36
2021;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;688;237;15;119
2021;Nichtwohngebäude;Produzierendes Gewerbe;528;570;4;42
2021;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;961;1215;25;330
2021;Nichtwohngebäude;Private Haushalte;5468;1435;165;1741
2021;Nichtwohngebäude;Organisationen ohne Erwerbszweck;185;166;4;55
2022;Wohngebäude;Öffentliche Eigentümer;310;20;115;1914
2022;Wohngebäude;Unternehmen;1362;100;434;6738
2022;Wohngebäude;Wohnungsunternehmen;1055;78;360;5956
2022;Wohngebäude;Immobilienfonds;9;0;2;21
2022;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;52;2;10;69
2022;Wohngebäude;Produzierendes Gewerbe;53;4;11;121
2022;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;193;15;52;571
2022;Wohngebäude;Private Haushalte;3248;151;473;4645
2022;Wohngebäude;Organisationen ohne Erwerbszweck;92;9;29;530
2022;Nichtwohngebäude;Öffentliche Eigentümer;661;799;11;111
2022;Nichtwohngebäude;Unternehmen;3067;3350;83;950
2022;Nichtwohngebäude;Wohnungsunternehmen;1069;1138;40;465
2022;Nichtwohngebäude;Immobilienfonds;60;195;2;34
2022;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;623;208;16;122
2022;Nichtwohngebäude;Produzierendes Gewerbe;462;712;7;100
2022;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;853;1097;18;229
2022;Nichtwohngebäude;Private Haushalte;4720;1219;150;1576
2022;Nichtwohngebäude;Organisationen ohne Erwerbszweck;158;104;2;31
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 28.01.2024 / 11:26:04
