GENESIS-Tabelle: 91111-0001
Indikatoren zur nachhaltigen Entwicklung: Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nachhaltige Entwicklung in Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indikatoren (jew. ME);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
NE2-03-01-A;    Gestorbene Frauen u.70 Jahren (Fallzahl je 100000);.;234,60;225,00;222,90;216,40;212,20;208,20;199,60;193,30;188,80;184,30;179,00;177,00;173,20;166,40;164,70;159,20;157,90;158,80;157,40;155,40;157,10;152,90;155,80;149,10;153,00;151,60;148,70;151,10;145,90;145,40;...;...
NE2-03-01-B;    Gestorbene Männer u.70 Jahren (Fallzahl je 100000);.;491,90;476,20;471,50;461,00;451,40;439,40;422,00;404,30;391,70;381,80;366,50;360,00;355,50;337,30;329,40;318,40;312,90;307,80;304,80;300,60;298,70;292,30;291,90;281,20;288,10;283,80;276,00;279,30;271,00;276,30;...;...
NE2-03-01-C;    Raucherquote Jugendl.(12-17Jahre)(% der Befragten);.;.;.;20,40;.;.;.;28,10;.;.;.;27,50;.;22,50;23,50;20,00;.;17,70;15,40;.;12,90;11,70;12,00;.;9,70;9,60;8,30;.;8,70;7,20;.;6,10;...
NE2-03-01-D;    Raucherquote Erwachsene(ab 15 J.)(% der Befragten);.;.;.;.;.;28,28;.;.;.;28,30;.;.;.;27,40;.;27,20;.;.;.;25,70;.;.;.;24,50;.;.;.;22,40;.;.;.;18,90;...
NE2-03-01-E-1;    Anteil 3-10-J.m.Übergew./Adipositas (%d.Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;12,90;.;.;.;.;.;.;.;.;.;.;12,30;.;.;.;.;.;.;...;...
NE2-03-01-E-2;    Anteil 3-10-Jährige m. Übergewicht (% d.Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;7,70;.;.;.;.;.;.;.;.;.;.;8,40;.;.;.;.;.;.;...;...
NE2-03-01-E-3;    Anteil 3-10-Jährige m. Adipositas (% d. Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;5,20;.;.;.;.;.;.;.;.;.;.;3,90;.;.;.;.;.;.;...;...
NE2-03-01-E-4;    Anteil 11-17-J.m.Überg./Adipositas (% d.Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;18,10;.;.;.;.;.;.;.;.;.;.;18,70;.;.;.;.;.;.;...;...
NE2-03-01-E-5;    Anteil 11-17-Jährige m.Übergewicht (% d.Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;9,80;.;.;.;.;.;.;.;.;.;.;10,70;.;.;.;.;.;.;...;...
NE2-03-01-E-6;    Anteil 11-17-Jährige m.Adipositas (% d. Befragten);.;.;.;.;.;.;.;.;.;.;.;.;.;8,30;.;.;.;.;.;.;.;.;.;.;8,00;.;.;.;.;.;.;...;...
NE2-03-01-F-1;    Anteil Erwachsene m.Adipositas (% der Erwachsenen);.;.;.;.;.;.;.;.;.;10,70;.;.;.;11,70;.;12,50;.;.;.;13,30;.;.;.;14,10;.;.;.;14,79;.;.;.;15,42;...
NE2-03-01-F-2;    Anteil Frauen mit Adipositas (% der Erwachsenen);.;.;.;.;.;.;.;.;.;10,20;.;.;.;11,20;.;11,80;.;.;.;12,40;.;.;.;12,80;.;.;.;13,05;.;.;.;13,40;...
NE2-03-01-F-3;    Anteil Männer mit Adipositas (% der Erwachsenen);.;.;.;.;.;.;.;.;.;11,10;.;.;.;12,30;.;13,00;.;.;.;14,20;.;.;.;15,40;.;.;.;16,42;.;.;.;17,29;...
NE2-03-02;  Luftbelastung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-03-02-A-1;    Emissionen von Luftschadstoffen (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,79;97,03;94,69;87,98;91,06;88,30;87,19;86,06;83,21;82,36;79,92;78,33;75,18;71,34;65,20;...;...
NE2-03-02-A-2;    Emissionen von Schwefeldioxid (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;100,26;96,59;95,29;83,02;85,20;81,80;77,92;75,45;70,92;70,60;65,43;63,63;61,23;54,89;49,20;...;...
NE2-03-02-A-3;    Emissionen von Stickstoffoxiden (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;100,59;97,49;93,66;87,81;88,56;86,98;86,46;86,41;83,65;82,27;80,57;77,45;72,28;67,75;59,91;...;...
NE2-03-02-A-4;    Emissionen von Ammoniak (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,13;100,45;100,92;101,50;101,87;102,47;103,55;104,75;106,17;105,90;105,28;102,76;98,46;95,33;89,08;...;...
NE2-03-02-A-5;    Emissionen v.flücht.organ. Verbindungen (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,75;95,57;91,39;83,72;91,54;85,56;84,49;81,51;78,92;77,14;76,71;77,02;73,88;72,09;69,65;...;...
NE2-03-02-A-6;    Emissionen von Feinstaub 2,5 Mikrogramm (2005=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,22;95,06;92,21;83,84;88,10;84,68;83,51;82,18;76,42;75,89;71,62;70,79;70,04;66,66;60,19;...;...
NE2-03-02-B;    Anteil Bev. m.erhöhter Feinstaubexposition (Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;29,66;21,02;31,13;34,61;36,37;12,51;17,18;11,90;4,99;3,84;2,54;2,90;0,20;0,04;...;...
NE2-03-03;  Globale Gesundheit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-03-03-A-1;    Ausgaben z.glob.Pandemiepräv./-reaktion (Mill.EUR);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;147,85;154,53;322,08;279,45;300,52;398,28;396,69;...
NE2-03-03-A-2;    Ausg. z.Eindämmung d.COVID-19-Pandemie (Mill. EUR);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;743,68;842,70;...
NE2-04;Hochwertige Bildung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-04-01;  Bildung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-04-01-A-1;    18-24-Jährige ohne Abschluss (% 18-24-Jährige);.;.;.;.;.;.;.;.;.;14,90;14,90;12,50;12,60;12,80;12,10;13,83;14,09;12,73;11,80;11,10;11,86;11,56;10,37;9,81;9,53;9,82;10,30;10,11;10,34;10,34;10,10;11,60;...
NE2-04-01-A-2;    18-24-jährige Frauen ohne Abschluss (% 18-24-j.F.);.;.;.;.;.;.;.;.;.;15,60;15,20;12,80;12,60;12,80;11,90;14,18;13,80;11,97;11,21;10,80;11,02;10,62;9,73;9,28;8,99;9,49;9,60;9,04;9,13;8,73;8,40;9,60;...
NE2-04-01-A-3;    18-24-jährige Männer ohne Abschluss (% 18-24-j.M.);.;.;.;.;.;.;.;.;.;14,20;14,60;12,20;12,60;12,90;12,20;13,49;14,37;13,48;12,37;11,50;12,68;12,47;10,97;10,30;10,03;10,12;11,00;11,09;11,42;11,80;11,70;13,50;...
NE2-04-01-B-1;    30-34-jährige akadem. Qualifizierte (% 30-34-J.);.;.;.;.;.;.;.;.;.;33,35;33,00;33,17;33,28;33,89;36,22;35,99;36,50;37,63;38,77;40,71;41,31;42,22;43,43;44,48;45,67;46,77;47,88;48,84;49,83;50,49;52,30;53,24;...
NE2-04-01-B-2;    30-34-j. Frauen akad. Qualifizierte (% 30-34-j.F.);.;.;.;.;.;.;.;.;.;31,39;30,88;31,09;31,25;32,19;34,65;35,00;36,48;38,03;39,68;42,21;42,68;44,42;46,04;46,80;48,42;50,52;51,30;52,64;53,83;54,41;56,63;57,16;...
NE2-04-01-B-3;    30-34-j. Männer akad. Qualifizierte (% 30-34-j.M.);.;.;.;.;.;.;.;.;.;35,22;35,05;35,20;35,22;35,49;37,72;36,95;36,52;37,25;37,86;39,23;39,97;40,07;40,88;42,20;42,94;43,11;44,57;45,19;46,02;46,76;48,26;49,55;...
NE2-04-02;  Perspektiven für Familien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-04-02-A;    Ganztagsbetreuungsquote für 0-2-Jährige (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5,87;6,52;7,31;8,67;10,17;11,34;12,75;13,72;15,31;15,92;16,16;16,23;16,53;16,91;17,10;16,46;16,80
NE2-04-02-B;    Ganztagsbetreuungsquote für 3-5-Jährige (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21,96;24,19;26,90;29,70;32,14;34,67;36,85;39,05;41,43;44,14;44,49;45,24;45,84;46,87;47,55;46,93;46,99
NE2-05;Geschlechter-Gleichheit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-05-01;  Gleichstellung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-05-01-A;    Verdienstabstand zwischen Frauen und Männern (%);.;.;.;.;.;21,00;21,00;21,00;22,00;19,00;21,00;21,00;22,00;23,00;23,00;22,00;23,00;23,00;23,00;23,00;22,00;22,00;23,00;22,00;22,00;22,00;21,00;20,00;20,00;19,00;18,00;18,00;...
NE2-05-01-B;    Anteil der Frauen in Aufsichtsräten von Untern.(%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21,30;23,76;28,10;30,90;33,90;35,20;35,90;35,60
NE2-05-01-C;    Anteil v.Frauen i.Führungspos.i.öff.D.d.Bundes (%);.;.;.;.;.;.;.;.;.;19,34;19,46;18,52;19,69;23,99;23,96;26,64;26,92;27,85;28,68;29,94;30,81;30,57;30,59;30,62;32,06;33,56;.;35,20;.;37,60;.;39,60;...
NE2-05-01-D;    Anteil Kinder,d.Väter Elterngeld bezogen haben (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21,20;24,00;25,90;28,00;30,00;32,60;34,80;36,90;38,80;40,40;42,10;43,50;...;...;...
NE2-05-01-E;    Berufl. Qualifizierung von Frauen d. dt. EZ (1000);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;354,84;.;.;862,98;.;.;80,08;...
NE2-06;Sauberes Wasser und Sanitäreinrichtungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-06-01;  Gewässerqualität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-06-01-A;    Phosphor in Fließgewässern (% Messst.m.eingeh.OW);18,40;17,74;19,69;20,86;23,98;23,79;21,95;23,81;20,09;27,85;28,83;29,55;27,11;31,42;32,30;30,80;34,30;31,45;33,19;33,60;32,14;38,19;35,66;36,14;34,82;30,65;37,05;35,51;44,28;42,80;41,70;...;...
NE2-06-01-B;    Nitrat im Grundwasser (% Messstellen m.eingeh.SW);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;81,84;82,53;81,66;81,97;80,95;81,41;81,82;81,02;81,80;83,10;82,66;84,20;84,10;...;...
NE2-06-02;  Trinkwasser- und Sanitärversorgung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-06-02-A;    Personen mit Zugang zur Trinkwasserversorg.(Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14,30;10,90;...;...
NE2-06-02-B;    Personen mit Zugang zur Sanitärversorgung (Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6,10;1,80;...;...
NE2-06-02-X;    Personen mit Neuzugang zur Wasserversorg. (Mill.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10,60;11,60;31,00;11,00;14,30;28,60;60,30;20,40;12,70;...;...
NE2-07;Bezahlbare und saubere Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-07-01;  Ressourcenschonung (Energie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-07-01-A;    Endenergieproduktivität (2008=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;99,68;96,66;105,29;105,29;102,76;110,82;109,96;110,26;111,54;116,21;116,80;120,16;119,51;...
NE2-07-01-B;    Primärenergieverbrauch (2008=100);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100,00;94,10;98,87;94,57;93,51;96,12;91,65;92,22;93,82;94,04;91,30;89,05;82,72;86,33;...
NE2-07-02;  Erneuerbare Energien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-07-02-A;    Anteil erneuerb. Energien am Endenergieverbr. (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7,10;8,40;10,20;10,10;10,70;11,40;12,50;13,60;13,80;14,30;15,20;14,90;16,00;16,80;17,70;19,70;19,20;...
NE2-07-02-B;    Anteil Strom aus erneuerb.Energ.am Stromverbr. (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10,30;11,70;14,30;15,20;16,50;17,10;20,40;23,60;25,10;27,30;31,40;31,60;36,00;37,60;41,90;45,20;41,10;...
NE2-08;Menschenwürdige Arbeit und Wirtschaftswachstum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-01;  Ressourcenschonung (Rohstoffe);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-01-A-1;    Gesamtrohstoffproduktivität (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;104,00;110,00;108,00;108,00;109,00;108,00;111,00;115,00;122,00;117,00;115,00;119,00;119,00;119,00;123,00;122,00;127,00;126,00;...;...;...;...
NE2-08-01-A-2;    Rohstoffeinsatz in Rohstoffäquivalenten (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;97,00;92,00;95,00;97,00;99,00;105,00;106,00;104,00;93,00;103,00;110,00;106,00;107,00;111,00;110,00;114,00;113,00;116,00;...;...;...;...
NE2-08-01-A-3;    Konsum, Invest., Exporte (preisber.) (2000=100);.;.;.;.;.;.;.;.;.;.;100,00;101,00;101,00;102,00;105,00;107,00;114,00;118,00;120,00;113,00;120,00;126,00;126,00;128,00;131,00;135,00;139,00;143,00;146,00;...;...;...;...
NE2-08-02;  Staatsverschuldung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-02-A;    Finanzierungssaldo, Anteil am BIP (jew.Preise)(%);.;-3,19;-2,61;-3,09;-2,52;-9,43;-3,57;-2,94;-2,57;-1,72;-1,58;-3,03;-3,87;-3,70;-3,33;-3,32;-1,65;0,26;-0,12;-3,15;-4,38;-0,88;0,01;0,04;0,58;0,96;1,16;1,34;1,95;1,53;-4,33;-3,73;...
NE2-08-02-B-1;    Strukt.Finanzierungssaldo, Anteil a.BIP (j.Pr.)(%);.;-5,35;-4,18;-2,82;-2,36;-2,84;-2,93;-2,52;-2,49;-1,87;-2,40;-3,90;-3,94;-2,79;-2,51;-2,20;-1,80;-0,70;-0,60;-0,50;-2,10;-1,20;0,10;0,60;0,90;1,10;1,00;0,70;1,30;0,80;-2,20;-2,50;...
NE2-08-02-B-2;    Veränderung des BIP (preisber.) zum Vorjahr (%);.;x;1,90;-1,00;2,40;1,50;0,80;1,80;2,00;1,90;2,90;1,70;-0,20;-0,70;1,20;0,70;3,80;3,00;1,00;-5,70;4,20;3,90;0,40;0,40;2,20;1,50;2,20;2,70;1,00;1,10;-3,70;2,60;...
NE2-08-02-C;    Öffentl. Schuldenstand im Verhältnis zum BIP (%);.;39,00;41,50;45,10;47,50;54,90;57,80;58,90;59,50;60,40;59,30;58,20;59,90;63,50;65,20;67,50;66,90;64,20;65,70;73,20;82,00;79,40;80,70;78,30;75,30;71,90;69,00;64,60;61,30;58,90;68,00;68,60;...
NE2-08-03;  Wirtschaftliche Zukunftsvorsorge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-03-A;    Investitionsquote des BIP (%);.;24,89;25,20;24,06;24,14;23,54;23,03;22,65;22,80;23,04;23,11;21,78;20,12;19,52;19,09;19,08;19,80;20,06;20,30;19,27;19,54;20,37;20,32;19,90;20,04;20,02;20,30;20,41;21,07;21,37;21,62;21,76;...
NE2-08-04;  Wirtschaftliche Leistungsfähigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-04-A;    BIP (preisbereinigt) je Einwohner (1000 EUR);.;27,74;28,09;27,66;28,26;28,64;28,81;29,31;29,93;30,50;31,37;31,88;31,79;31,58;31,99;32,27;33,57;34,64;35,08;33,19;34,67;36,03;36,11;36,17;36,82;37,05;37,57;38,43;38,69;39,01;37,54;38,51;...
NE2-08-05;  Beschäftigung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-05-A-1;    Erwerbstätigenquote der 20-64-Jährigen (%);.;.;.;.;.;.;.;.;.;.;68,70;69,10;68,80;68,40;67,90;69,40;71,10;72,90;74,00;74,20;75,00;76,50;76,90;77,30;77,70;78,00;78,60;79,20;79,90;80,60;79,20;79,60;...
NE2-08-05-A-2;    Erwerbstätigenquote der 20-64-jährigen Frauen (%);.;.;.;.;.;.;.;.;.;.;60,70;61,60;61,80;62,00;61,80;63,10;65,00;66,70;67,80;68,70;69,70;71,30;71,60;72,50;73,10;73,60;74,50;75,20;75,80;76,60;75,40;75,90;...
NE2-08-05-A-3;    Erwerbstätigenquote der 20-64-jährigen Männer (%);.;.;.;.;.;.;.;.;.;.;76,50;76,40;75,60;74,80;74,00;75,60;77,20;79,10;80,10;79,60;80,40;81,70;82,10;82,10;82,20;82,30;82,70;83,10;83,90;84,60;83,00;83,20;...
NE2-08-05-B-1;    Erwerbstätigenquote der 60-64-Jährigen (%);.;.;.;.;.;.;.;.;.;.;19,60;20,80;22,20;23,50;25,30;28,20;29,70;32,90;35,10;38,60;41,10;44,30;46,60;50,00;52,60;53,30;56,00;58,40;60,30;61,80;60,60;61,10;...
NE2-08-05-B-2;    Erwerbstätigenquote der 60-64-jährigen Frauen (%);.;.;.;.;.;.;.;.;.;.;12,10;13,40;14,50;15,90;17,60;20,70;21,90;24,90;27,20;30,40;33,10;36,50;38,80;42,80;46,20;47,90;50,80;53,30;55,40;57,10;56,70;56,70;...
NE2-08-05-B-3;    Erwerbstätigenquote der 60-64-jährigen Männer (%);.;.;.;.;.;.;.;.;.;.;27,20;28,40;30,20;31,20;33,20;35,90;37,70;41,20;43,20;47,00;49,40;52,40;54,90;57,70;59,40;59,10;61,50;63,70;65,40;66,60;64,50;65,70;...
NE2-08-06;  Globale Lieferketten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-08-06-A;    Mitglieder des Textilbündnisses (Anzahl);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;59,00;172,00;188,00;147,00;128,00;124,00;136,00;123,00;...
NE2-09;Industrie, Innovation und Infrastruktur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-09-01;  Innovation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-09-01-A;    Priv.u.öff.Ausgaben f.Forschung u.Entw.(% des BIP);.;2,40;2,28;2,21;2,13;2,14;2,14;2,19;2,22;2,35;2,41;2,40;2,44;2,47;2,44;2,44;2,47;2,46;2,62;2,74;2,73;2,81;2,88;2,84;2,88;2,93;2,94;3,05;3,11;3,17;3,13;...;...
NE2-09-01-B-1;    Breitbandverfügbark., alle Technolog. (% d.Haush.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;27,30;43,22;59,20;62,10;...
NE2-09-01-B-2;    Breitbandverfügbark., Glasfasernetze (% d.Haush.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6,70;7,10;8,00;9,00;11,82;14,50;15,40;...
NE2-09-01-B-3;    Breitbandverfügbarkeit, Kabel (% der Haushalte);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;23,70;37,83;53,50;56,50;...
NE2-10;Weniger Ungleichheiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-10-01;  Gleiche Bildungschancen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-10-01-A-1;    Anteil ausl.Schulabsolv. a.allen ausl.Schulabg.(%);.;.;.;.;.;.;80,40;80,60;80,50;80,70;80,10;79,80;80,60;80,90;81,90;82,60;83,20;84,00;85,00;86,20;87,20;88,20;88,60;89,30;88,50;88,20;85,80;81,80;81,80;82,40;85,30;84,30;...
NE2-10-01-A-2;    Anteil w.ausl.Schulabs.a.allen w.ausl.Schulabg.(%);.;.;.;.;.;.;84,50;84,70;84,50;84,90;84,30;84,30;84,40;84,60;85,80;86,40;86,50;87,00;87,90;88,50;89,50;90,30;90,60;91,10;90,40;90,30;89,10;86,40;85,60;85,80;88,00;87,40;...
NE2-10-01-A-3;    Anteil m.ausl.Schulabs.a.allen m.ausl.Schulabg.(%);.;.;.;.;.;.;76,70;76,80;76,90;76,90;76,20;75,80;76,90;77,40;78,30;79,10;80,20;81,20;82,30;83,90;85,00;86,20;86,70;87,60;86,80;86,20;82,90;78,00;78,80;79,50;83,00;81,60;...
NE2-10-01-A-4;    Anteil dt. Schulabsolv. an allen dt. Schulabg. (%);.;.;.;.;.;.;92,30;92,30;92,10;92,00;91,70;91,30;91,80;92,10;92,60;92,80;93,10;93,60;93,80;94,20;94,60;95,00;95,10;95,40;95,10;95,00;95,10;94,80;94,60;94,50;94,90;94,90;...
NE2-10-02;  Verteilungsgerechtigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-10-02-A-1;    Verfügbares Äquivalenzeinkommen, Dtld. (GINI);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,30;0,30;0,29;0,29;0,29;0,28;0,30;0,31;0,30;0,30;0,29;0,31;0,30;0,31;0,31;...
NE2-10-02-A-2;    Verfügbares Äquivalenzeinkommen, EU (GINI);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,30;0,30;...
NE2-11;Nachhaltige Städte und Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-11-01;  Flächeninanspruchnahme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-11-01-A-1;    Anstieg Siedlungs-u.Verkehrsfläche,gl.4JD (ha/Tag);.;.;.;.;.;.;119,60;120,70;123,50;126,30;129,10;128,30;123,10;115,10;115,10;114,30;113,30;112,80;103,80;93,90;86,60;80,90;74,40;72,60;69,20;66,10;61,54;57,69;56,37;52,00;54,00;...;...
NE2-11-01-A-2;    Anstieg Siedlungs-u.Verkehrsfläche, J (ha/Tag);.;.;.;.;.;.;119,58;124,25;130,62;130,65;131,10;121,10;109,32;98,90;131,15;117,53;105,75;96,71;95,08;78,08;76,71;73,62;69,35;70,59;63,27;61,01;51,28;55,21;58,00;45,00;58,00;...;...
NE2-11-01-A-3;    Anstieg der Verkehrsfläche (ha/Tag);.;.;.;.;.;.;23,61;20,64;23,30;23,31;23,64;23,00;22,47;20,27;24,59;25,21;24,11;24,38;21,49;18,08;20,55;16,95;10,86;18,52;23,44;9,77;/;8,48;15,95;2,00;6,00;...;...
