GENESIS-Tabelle: 21211-0104
Ausbildungsverträge: Bundesländer, Jahre, Nationalität, Geschlecht, Ausbildungsbereich;;;;;;;;;;;;;;;;;;;
Berufsbildungsstatistik;;;;;;;;;;;;;;;;;;;
Neu abgeschlossene Ausbildungsverträge (Anzahl);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
2008;Handwerk;Insgesamt;Insgesamt;22050;30930;5325;4101;1233;2697;10266;2922;18807;34881;8985;2475;6291;4221;6918;3852
2008;Landwirtschaft;Deutsche;männlich;1254;2256;234;600;45;147;552;411;1626;2124;594;177;768;414;573;357
2008;Landwirtschaft;Deutsche;weiblich;390;636;75;222;12;33;174;147;483;489;183;51;375;147;225;189
2008;Landwirtschaft;Deutsche;Insgesamt;1641;2892;312;822;57;180;726;558;2109;2613;777;225;1143;561;798;546
2008;Landwirtschaft;Ausländer;männlich;9;9;3;0;0;6;6;0;45;21;12;0;-;0;0;0
2008;Landwirtschaft;Ausländer;weiblich;0;3;-;-;-;-;3;-;3;6;0;-;-;3;0;-
2008;Landwirtschaft;Ausländer;Insgesamt;9;12;3;0;0;6;9;0;51;27;12;0;-;3;0;0
2008;Landwirtschaft;Insgesamt;männlich;1260;2265;237;600;45;150;558;411;1671;2145;606;177;768;414;573;357
2008;Landwirtschaft;Insgesamt;weiblich;390;642;75;222;12;33;177;147;486;495;183;51;375;150;225;189
2008;Landwirtschaft;Insgesamt;Insgesamt;1650;2904;315;822;57;186;735;558;2157;2640;789;228;1143;564;798;546
2008;Öffentlicher Dienst;Deutsche;männlich;489;501;195;186;24;36;396;126;534;957;237;33;210;177;174;129
2008;Öffentlicher Dienst;Deutsche;weiblich;1413;828;414;273;57;117;819;264;699;1461;366;57;474;282;252;237
2008;Öffentlicher Dienst;Deutsche;Insgesamt;1905;1329;609;459;81;153;1215;390;1233;2418;603;93;684;462;426;363
2008;Öffentlicher Dienst;Ausländer;männlich;18;3;3;-;0;3;9;-;3;24;6;0;-;0;-;-
2008;Öffentlicher Dienst;Ausländer;weiblich;45;12;12;-;3;0;24;0;9;33;6;0;-;0;-;0
2008;Öffentlicher Dienst;Ausländer;Insgesamt;63;15;15;-;3;3;33;0;12;57;9;3;-;3;-;0
2008;Öffentlicher Dienst;Insgesamt;männlich;507;504;198;186;24;39;405;126;537;981;243;36;210;180;174;129
2008;Öffentlicher Dienst;Insgesamt;weiblich;1458;840;426;273;60;117;843;264;711;1494;372;60;474;285;252;237
2008;Öffentlicher Dienst;Insgesamt;Insgesamt;1965;1344;624;459;84;156;1248;390;1245;2475;615;93;684;462;426;363
2008;Freie Berufe;Deutsche;männlich;141;336;135;51;15;72;123;48;282;540;96;33;66;48;102;42
2008;Freie Berufe;Deutsche;weiblich;4662;6819;1380;654;435;906;2475;552;4092;8994;1953;534;834;531;1509;429
2008;Freie Berufe;Deutsche;Insgesamt;4803;7155;1512;705;450;975;2598;600;4374;9534;2046;567;900;582;1611;471
2008;Freie Berufe;Ausländer;männlich;9;24;3;-;-;3;6;0;6;27;3;0;0;-;3;0
2008;Freie Berufe;Ausländer;weiblich;777;648;141;6;45;102;366;6;162;879;156;39;6;9;60;3
2008;Freie Berufe;Ausländer;Insgesamt;786;672;144;6;45;105;372;6;168;906;156;42;6;9;63;3
2008;Freie Berufe;Insgesamt;männlich;150;360;138;51;15;75;129;48;288;567;96;33;66;48;105;42
2008;Freie Berufe;Insgesamt;weiblich;5439;7470;1521;657;480;1005;2841;558;4254;9870;2106;576;840;543;1569;432
2008;Freie Berufe;Insgesamt;Insgesamt;5589;7827;1656;708;495;1080;2970;609;4542;10440;2205;609;906;591;1674;474
2008;Hauswirtschaft;Deutsche;männlich;24;12;18;15;9;-;-;27;36;60;9;6;33;27;-;27
2008;Hauswirtschaft;Deutsche;weiblich;534;438;123;189;60;-;-;228;435;681;267;75;252;174;-;186
2008;Hauswirtschaft;Deutsche;Insgesamt;558;450;141;204;69;-;-;258;471;741;276;81;285;204;-;213
2008;Hauswirtschaft;Ausländer;männlich;3;3;0;-;-;-;-;0;3;3;0;-;-;-;-;-
2008;Hauswirtschaft;Ausländer;weiblich;66;12;9;3;6;-;-;0;15;39;12;3;-;-;-;0
2008;Hauswirtschaft;Ausländer;Insgesamt;69;15;9;3;6;-;-;0;18;42;12;3;-;-;-;0
2008;Hauswirtschaft;Insgesamt;männlich;27;15;18;15;9;-;-;27;36;66;9;6;33;27;-;27
2008;Hauswirtschaft;Insgesamt;weiblich;600;450;132;192;66;-;-;228;450;717;279;75;252;174;-;186
2008;Hauswirtschaft;Insgesamt;Insgesamt;627;465;150;204;75;-;-;258;486;783;291;81;285;204;-;213
2008;Insgesamt;Deutsche;männlich;42537;55539;10458;10533;3390;7311;21639;7950;33792;70953;16599;4614;16269;10218;12030;9852
2008;Insgesamt;Deutsche;weiblich;30849;41439;9129;6630;2541;6198;15879;5832;23940;49023;11811;3276;10644;6582;8856;6099
2008;Insgesamt;Deutsche;Insgesamt;73386;96978;19587;17163;5934;13509;37515;13782;57729;119976;28407;7890;26913;16800;20886;15951
2008;Insgesamt;Ausländer;männlich;4251;3288;486;48;147;468;1995;27;897;4083;756;234;57;51;273;30
2008;Insgesamt;Ausländer;weiblich;3483;2568;537;33;162;435;1686;39;687;3060;552;180;60;30;219;36
2008;Insgesamt;Ausländer;Insgesamt;7734;5856;1023;81;309;903;3681;66;1584;7143;1305;414;117;81;492;66
2008;Insgesamt;Insgesamt;männlich;46788;58827;10944;10578;3537;7779;23634;7977;34689;75036;17352;4848;16329;10269;12306;9879
2008;Insgesamt;Insgesamt;weiblich;34332;44007;9666;6663;2706;6633;17562;5871;24624;52083;12360;3456;10704;6612;9072;6135
2008;Insgesamt;Insgesamt;Insgesamt;81123;102834;20610;17244;6243;14412;41196;13848;59313;127116;29715;8304;27030;16878;21378;16014
2009;Industrie und Handel;Deutsche;männlich;23772;27708;5895;5550;2223;4800;12192;3960;16305;39846;8574;2481;8922;5313;5772;5094
2009;Industrie und Handel;Deutsche;weiblich;17178;22278;5139;3834;1584;3960;9474;3087;12963;27948;6417;1971;6360;3669;4953;3480
2009;Industrie und Handel;Deutsche;Insgesamt;40950;49986;11034;9384;3807;8763;21666;7050;29268;67797;14991;4452;15282;8985;10725;8574
2009;Industrie und Handel;Ausländer;männlich;2199;1794;384;27;84;297;1317;21;525;2151;372;129;69;15;135;30
2009;Industrie und Handel;Ausländer;weiblich;1629;1302;243;27;69;234;906;18;360;1353;258;96;57;18;93;21
2009;Industrie und Handel;Ausländer;Insgesamt;3828;3096;630;54;150;528;2223;39;885;3504;633;225;126;36;228;51
2009;Industrie und Handel;Insgesamt;männlich;25971;29502;6279;5577;2304;5097;13509;3984;16830;41997;8946;2610;8991;5331;5907;5124
2009;Industrie und Handel;Insgesamt;weiblich;18807;23577;5382;3861;1653;4194;10380;3105;13323;29304;6678;2067;6417;3690;5046;3501
2009;Industrie und Handel;Insgesamt;Insgesamt;44778;53082;11664;9438;3957;9291;23889;7089;30153;71301;15624;4677;15408;9018;10953;8625
2009;Handwerk;Deutsche;männlich;13662;19257;3132;2607;750;1515;6825;1758;13056;22491;6270;1647;3690;2862;4797;2526
2009;Handwerk;Deutsche;weiblich;5166;7197;1536;918;354;597;2211;624;4503;7629;2106;606;1446;906;1629;837
2009;Handwerk;Deutsche;Insgesamt;18825;26457;4668;3522;1107;2112;9036;2382;17559;30117;8376;2253;5136;3768;6426;3363
2009;Handwerk;Ausländer;männlich;1749;951;144;15;51;138;744;9;300;1617;348;114;12;9;120;18
2009;Handwerk;Ausländer;weiblich;870;447;102;6;21;102;324;6;159;828;174;45;9;3;69;6
2009;Handwerk;Ausländer;Insgesamt;2619;1398;249;21;72;240;1068;15;459;2445;522;159;24;12;189;21
2009;Handwerk;Insgesamt;männlich;15411;20208;3276;2622;801;1653;7569;1770;13356;24108;6618;1761;3702;2868;4917;2544
2009;Handwerk;Insgesamt;weiblich;6033;7647;1638;924;375;696;2538;627;4662;8457;2283;651;1458;912;1698;840
2009;Handwerk;Insgesamt;Insgesamt;21444;27855;4914;3543;1176;2352;10104;2397;18018;32565;8898;2412;5160;3780;6618;3384
2009;Landwirtschaft;Deutsche;männlich;1239;1662;225;486;63;105;549;396;1674;2145;576;168;624;384;645;366
2009;Landwirtschaft;Deutsche;weiblich;351;540;60;186;9;33;153;99;480;501;156;57;333;159;207;156
2009;Landwirtschaft;Deutsche;Insgesamt;1590;2202;285;672;69;141;702;495;2154;2646;732;225;954;540;852;522
2009;Landwirtschaft;Ausländer;männlich;21;6;6;0;0;0;12;0;51;30;15;0;-;0;0;0
2009;Landwirtschaft;Ausländer;weiblich;6;3;0;-;-;-;3;-;15;3;3;-;-;0;0;-
2009;Landwirtschaft;Ausländer;Insgesamt;27;9;6;0;0;0;15;0;66;33;18;0;-;3;0;0
2009;Landwirtschaft;Insgesamt;männlich;1260;1668;231;486;63;105;561;399;1725;2178;591;171;624;384;645;366
2009;Landwirtschaft;Insgesamt;weiblich;357;543;60;186;9;33;156;99;495;504;159;57;333;159;210;156
2009;Landwirtschaft;Insgesamt;Insgesamt;1620;2211;291;672;69;141;717;498;2220;2682;753;225;954;543;852;522
2009;Öffentlicher Dienst;Deutsche;männlich;486;537;216;171;39;36;396;153;531;921;270;48;246;171;189;153
2009;Öffentlicher Dienst;Deutsche;weiblich;1488;975;489;288;66;117;915;234;750;1611;378;66;501;300;243;240
2009;Öffentlicher Dienst;Deutsche;Insgesamt;1974;1515;705;459;105;156;1311;387;1281;2532;648;114;747;468;432;393
2009;Öffentlicher Dienst;Ausländer;männlich;18;6;6;0;0;-;9;-;3;21;6;0;0;0;0;-
2009;Öffentlicher Dienst;Ausländer;weiblich;42;18;3;-;0;3;24;0;9;42;6;3;0;0;0;0
2009;Öffentlicher Dienst;Ausländer;Insgesamt;60;24;9;0;0;3;33;0;12;63;12;3;0;0;0;0
2009;Öffentlicher Dienst;Insgesamt;männlich;504;543;222;174;39;36;405;153;534;942;276;48;246;171;189;153
2009;Öffentlicher Dienst;Insgesamt;weiblich;1530;996;492;288;66;120;939;234;759;1653;384;66;501;300;243;240
2009;Öffentlicher Dienst;Insgesamt;Insgesamt;2034;1539;714;462;105;156;1344;387;1293;2595;660;114;747;468;432;393
2009;Freie Berufe;Deutsche;männlich;129;333;123;45;21;63;150;36;285;549;87;36;75;63;135;36
2009;Freie Berufe;Deutsche;weiblich;4323;6555;1377;636;381;906;2346;435;4062;8457;1851;507;876;489;1503;420
2009;Freie Berufe;Deutsche;Insgesamt;4452;6888;1497;681;402;969;2496;471;4347;9006;1935;543;951;552;1638;456
2009;Freie Berufe;Ausländer;männlich;18;21;3;-;0;6;9;0;3;27;3;0;0;0;3;-
2009;Freie Berufe;Ausländer;weiblich;729;663;165;3;39;129;369;6;159;882;171;48;9;3;51;3
2009;Freie Berufe;Ausländer;Insgesamt;744;684;168;3;39;135;378;6;162;909;174;48;9;6;51;3
2009;Freie Berufe;Insgesamt;männlich;144;354;126;45;21;69;159;36;288;573;90;36;75;66;138;36
2009;Freie Berufe;Insgesamt;weiblich;5052;7218;1539;639;420;1035;2715;441;4221;9342;2022;555;885;492;1551;426
2009;Freie Berufe;Insgesamt;Insgesamt;5196;7572;1665;684;441;1104;2874;477;4512;9915;2112;591;960;558;1689;459
2009;Hauswirtschaft;Deutsche;männlich;21;15;15;24;3;3;-;27;39;51;18;6;18;18;-;18
2009;Hauswirtschaft;Deutsche;weiblich;546;408;96;126;69;33;-;189;435;675;258;78;258;132;-;162
2009;Hauswirtschaft;Deutsche;Insgesamt;567;423;108;153;72;36;-;216;471;729;279;84;276;153;-;180
2009;Hauswirtschaft;Ausländer;männlich;3;0;0;-;-;0;-;-;9;6;0;-;-;-;-;-
2009;Hauswirtschaft;Ausländer;weiblich;72;3;6;0;0;3;-;0;21;36;15;0;-;-;-;0
2009;Hauswirtschaft;Ausländer;Insgesamt;75;3;9;0;0;3;-;0;27;42;15;0;-;-;-;0
2009;Hauswirtschaft;Insgesamt;männlich;24;15;15;24;3;3;-;27;45;57;18;6;18;18;-;18
2009;Hauswirtschaft;Insgesamt;weiblich;615;411;102;126;69;36;-;189;453;711;273;81;258;132;-;162
2009;Hauswirtschaft;Insgesamt;Insgesamt;642;426;117;153;75;39;-;216;501;768;291;87;276;153;-;183
2009;Insgesamt;Deutsche;männlich;39309;49515;9606;8883;3099;6525;20109;6336;31890;66003;15795;4386;13572;8811;11538;8193
2009;Insgesamt;Deutsche;weiblich;29052;37953;8694;5988;2463;5646;15099;4668;23190;46824;11166;3285;9774;5655;8535;5295
2009;Insgesamt;Deutsche;Insgesamt;68361;87468;18300;14871;5562;12174;35208;11004;55080;112827;26964;7671;23346;14466;20073;13488
2009;Insgesamt;Ausländer;männlich;4008;2778;546;45;132;441;2088;33;891;3852;744;243;81;27;258;48
2009;Insgesamt;Ausländer;weiblich;3345;2439;522;36;129;468;1629;27;723;3147;630;192;78;27;213;30
2009;Insgesamt;Ausländer;Insgesamt;7353;5214;1068;78;261;909;3720;60;1614;6996;1374;435;159;54;471;78
2009;Insgesamt;Insgesamt;männlich;43317;52290;10149;8928;3231;6966;22200;6369;32781;69855;16539;4629;13653;8838;11796;8241
2009;Insgesamt;Insgesamt;weiblich;32397;40392;9216;6024;2592;6114;16728;4695;23913;49971;11796;3477;9852;5682;8748;5325
2009;Insgesamt;Insgesamt;Insgesamt;75714;92682;19368;14949;5826;13083;38928;11064;56694;119826;28335;8106;23505;14520;20544;13566
2010;Industrie und Handel;Deutsche;männlich;23964;28899;5967;5013;2133;5139;12588;3588;17187;41640;8688;2289;8025;4809;5922;4695
2010;Industrie und Handel;Deutsche;weiblich;16929;22101;4794;3378;1602;4062;9333;2580;13125;28392;6375;1836;5361;3315;4728;3027
2010;Industrie und Handel;Deutsche;Insgesamt;40893;51000;10758;8391;3732;9201;21921;6168;30309;70032;15063;4125;13386;8124;10650;7722
2010;Industrie und Handel;Ausländer;männlich;2397;2058;369;66;96;318;1299;30;570;2325;378;99;60;33;135;33
2010;Industrie und Handel;Ausländer;weiblich;1617;1440;264;39;63;222;936;18;351;1410;261;96;45;24;81;18
2010;Industrie und Handel;Ausländer;Insgesamt;4014;3498;636;105;159;540;2235;48;921;3735;639;195;105;57;216;51
2010;Industrie und Handel;Insgesamt;männlich;26361;30957;6336;5076;2229;5457;13887;3618;17754;43965;9066;2388;8085;4842;6057;4725
2010;Industrie und Handel;Insgesamt;weiblich;18543;23541;5058;3417;1662;4284;10272;2598;13476;29799;6636;1932;5406;3339;4809;3045
2010;Industrie und Handel;Insgesamt;Insgesamt;44904;54498;11394;8496;3891;9741;24156;6216;31230;73767;15702;4320;13491;8181;10866;7770
2010;Handwerk;Deutsche;männlich;12987;19629;3012;2343;744;1635;7017;1698;13020;23637;6351;1764;3375;2352;4881;2265
2010;Handwerk;Deutsche;weiblich;4656;6906;1377;735;396;660;2118;579;4464;7569;2145;549;1359;825;1641;699
2010;Handwerk;Deutsche;Insgesamt;17643;26535;4389;3078;1140;2292;9132;2277;17484;31209;8496;2310;4734;3177;6522;2961
2010;Handwerk;Ausländer;männlich;1902;1215;240;24;36;174;771;9;351;1758;369;99;24;18;105;21
2010;Handwerk;Ausländer;weiblich;888;471;132;6;36;93;351;3;171;762;147;51;15;3;75;3
2010;Handwerk;Ausländer;Insgesamt;2793;1686;372;30;72;267;1125;9;525;2520;516;147;39;18;177;24
2010;Handwerk;Insgesamt;männlich;14889;20847;3255;2364;780;1809;7788;1707;13371;25398;6720;1860;3399;2367;4986;2286
2010;Handwerk;Insgesamt;weiblich;5544;7377;1509;741;432;753;2469;579;4638;8331;2292;597;1374;828;1713;702
2010;Handwerk;Insgesamt;Insgesamt;20433;28224;4764;3108;1212;2562;10257;2286;18009;33729;9012;2460;4773;3195;6699;2988
2010;Landwirtschaft;Deutsche;männlich;1191;1704;240;387;54;102;558;318;1560;2124;609;162;600;372;621;297
2010;Landwirtschaft;Deutsche;weiblich;360;510;75;177;9;15;186;78;450;390;156;51;291;147;207;138
2010;Landwirtschaft;Deutsche;Insgesamt;1548;2211;315;564;60;117;744;396;2013;2514;765;213;891;519;828;435
2010;Landwirtschaft;Ausländer;männlich;18;6;3;0;3;0;0;0;12;24;6;0;-;0;0;0
2010;Landwirtschaft;Ausländer;weiblich;6;0;-;0;-;-;3;-;3;3;3;-;-;0;0;-
2010;Landwirtschaft;Ausländer;Insgesamt;27;6;3;0;3;0;3;0;18;27;9;0;-;0;0;0
2010;Landwirtschaft;Insgesamt;männlich;1209;1707;243;387;57;102;561;318;1575;2148;615;162;600;372;621;297
2010;Landwirtschaft;Insgesamt;weiblich;366;510;75;177;9;15;189;78;456;393;159;51;291;147;207;138
2010;Landwirtschaft;Insgesamt;Insgesamt;1575;2217;318;564;63;117;747;396;2028;2541;774;213;891;519;828;435
2010;Öffentlicher Dienst;Deutsche;männlich;558;528;192;162;42;63;384;135;528;906;264;51;237;144;192;108
2010;Öffentlicher Dienst;Deutsche;weiblich;1449;960;366;330;87;147;819;195;753;1557;372;66;411;237;273;225
2010;Öffentlicher Dienst;Deutsche;Insgesamt;2004;1485;558;492;129;210;1203;330;1284;2463;636;120;648;381;462;330
2010;Öffentlicher Dienst;Ausländer;männlich;12;6;6;0;0;0;6;-;6;18;3;0;-;0;0;0
2010;Öffentlicher Dienst;Ausländer;weiblich;54;9;15;0;0;0;21;0;9;42;6;0;-;0;-;0
2010;Öffentlicher Dienst;Ausländer;Insgesamt;66;15;18;0;3;0;30;0;15;60;9;3;-;0;0;3
2010;Öffentlicher Dienst;Insgesamt;männlich;570;534;198;162;42;66;390;135;537;924;267;54;237;144;192;108
2010;Öffentlicher Dienst;Insgesamt;weiblich;1500;969;381;333;87;147;843;195;762;1599;378;69;411;237;273;225
2010;Öffentlicher Dienst;Insgesamt;Insgesamt;2070;1503;579;492;129;210;1233;330;1299;2523;648;120;648;381;462;333
2010;Freie Berufe;Deutsche;männlich;165;294;132;60;27;66;156;60;240;546;111;36;63;60;114;33
2010;Freie Berufe;Deutsche;weiblich;4272;6426;1398;600;381;858;2298;411;4299;8448;1764;465;801;444;1533;429
2010;Freie Berufe;Deutsche;Insgesamt;4437;6720;1530;660;408;921;2454;471;4539;8994;1875;501;867;504;1647;462
2010;Freie Berufe;Ausländer;männlich;12;18;3;-;0;6;12;0;9;33;3;3;0;0;3;0
2010;Freie Berufe;Ausländer;weiblich;750;744;195;6;51;150;414;9;144;954;150;42;9;9;63;6
2010;Freie Berufe;Ausländer;Insgesamt;762;762;198;6;51;156;429;9;156;987;153;45;12;9;66;9
2010;Freie Berufe;Insgesamt;männlich;177;312;135;60;27;72;168;60;252;579;114;39;66;60;117;33
2010;Freie Berufe;Insgesamt;weiblich;5022;7170;1593;603;432;1008;2712;420;4443;9402;1914;507;813;453;1596;438
2010;Freie Berufe;Insgesamt;Insgesamt;5199;7482;1728;666;459;1080;2883;480;4695;9978;2028;546;876;513;1716;471
2010;Hauswirtschaft;Deutsche;männlich;18;27;15;15;6;0;-;18;39;39;15;6;24;21;-;21
2010;Hauswirtschaft;Deutsche;weiblich;450;399;87;126;51;39;-;132;393;618;255;63;201;120;-;156
2010;Hauswirtschaft;Deutsche;Insgesamt;465;426;102;141;57;39;-;150;432;657;270;66;225;141;-;177
2010;Hauswirtschaft;Ausländer;männlich;0;0;0;-;0;0;-;-;3;6;-;0;-;-;-;-
2010;Hauswirtschaft;Ausländer;weiblich;69;6;9;0;3;6;-;0;24;39;3;6;-;-;-;3
2010;Hauswirtschaft;Ausländer;Insgesamt;72;6;9;0;3;9;-;0;27;45;3;6;-;-;-;3
2010;Hauswirtschaft;Insgesamt;männlich;18;27;15;15;6;3;-;18;42;45;15;6;24;21;-;21
2010;Hauswirtschaft;Insgesamt;weiblich;519;405;96;126;54;45;-;132;414;657;258;66;201;120;-;159
2010;Hauswirtschaft;Insgesamt;Insgesamt;537;432;111;141;63;48;-;150;456;702;276;72;225;141;-;180
2010;Insgesamt;Deutsche;männlich;38880;51081;9561;7980;3003;7002;20703;5817;32577;68892;16038;4305;12327;7755;11733;7419
2010;Insgesamt;Deutsche;weiblich;28110;37299;8097;5346;2523;5778;14754;3975;23484;46974;11067;3030;8421;5088;8379;4671
2010;Insgesamt;Deutsche;Insgesamt;66990;88380;17655;13326;5526;12780;35457;9792;56061;115866;27105;7338;20751;12846;20112;12090
2010;Insgesamt;Ausländer;männlich;4344;3303;624;87;138;501;2091;36;954;4164;762;201;84;51;243;57
2010;Insgesamt;Ausländer;weiblich;3387;2673;615;51;153;471;1728;30;705;3207;570;195;72;36;219;33
2010;Insgesamt;Ausländer;Insgesamt;7728;5976;1236;141;291;975;3819;66;1659;7371;1332;396;156;87;462;90
2010;Insgesamt;Insgesamt;männlich;43224;54384;10182;8067;3141;7506;22794;5853;33531;73059;16800;4509;12411;7806;11973;7473
2010;Insgesamt;Insgesamt;weiblich;31497;39972;8709;5400;2676;6249;16482;4005;24189;50181;11637;3225;8493;5124;8598;4704
2010;Insgesamt;Insgesamt;Insgesamt;74721;94356;18894;13467;5817;13755;39276;9858;57717;123240;28437;7734;20904;12930;20574;12177
2011;Industrie und Handel;Deutsche;männlich;26007;30855;5841;4788;2334;5274;13602;3321;19029;44550;9276;2403;7725;4824;6231;4650
2011;Industrie und Handel;Deutsche;weiblich;17526;22731;4284;2889;1572;4005;9228;2241;13806;28878;6252;1815;4983;2949;4722;2682
2011;Industrie und Handel;Deutsche;Insgesamt;43533;53586;10125;7677;3906;9279;22833;5562;32835;73428;15531;4218;12711;7776;10953;7332
2011;Industrie und Handel;Ausländer;männlich;2637;2322;330;87;105;348;1287;27;573;2535;414;57;75;33;129;45
2011;Industrie und Handel;Ausländer;weiblich;1692;1614;255;51;60;219;942;18;381;1389;285;66;72;21;87;21
2011;Industrie und Handel;Ausländer;Insgesamt;4332;3936;585;138;165;567;2229;42;954;3924;702;123;147;54;216;66
2011;Industrie und Handel;Insgesamt;männlich;28647;33177;6171;4875;2439;5622;14889;3348;19602;47085;9693;2457;7803;4860;6360;4695
2011;Industrie und Handel;Insgesamt;weiblich;19218;24342;4539;2940;1635;4227;10170;2259;14187;30267;6540;1881;5055;2970;4809;2703
2011;Industrie und Handel;Insgesamt;Insgesamt;47865;57522;10710;7815;4074;9849;25062;5607;33789;77352;16230;4341;12858;7830;11166;7398
2011;Handwerk;Deutsche;männlich;13659;19878;2874;2031;741;1581;7257;1479;13590;23625;6285;1692;3354;2346;4794;2040
2011;Handwerk;Deutsche;weiblich;4572;6642;1221;603;405;633;2064;471;4347;6864;1878;525;1242;714;1605;645
2011;Handwerk;Deutsche;Insgesamt;18231;26520;4095;2634;1146;2211;9321;1950;17937;30489;8163;2220;4596;3060;6399;2685
2011;Handwerk;Ausländer;männlich;1827;1317;183;39;63;195;753;15;423;1593;378;99;33;15;126;18
2011;Handwerk;Ausländer;weiblich;870;477;144;12;21;84;315;3;162;669;135;30;21;0;48;9
2011;Handwerk;Ausländer;Insgesamt;2697;1794;327;48;84;279;1068;18;585;2262;516;129;54;18;174;30
2011;Handwerk;Insgesamt;männlich;15486;21195;3057;2070;804;1776;8013;1494;14013;25218;6666;1791;3390;2364;4920;2061
2011;Handwerk;Insgesamt;weiblich;5442;7119;1362;615;426;714;2376;474;4509;7533;2013;558;1263;714;1653;654
2011;Handwerk;Insgesamt;Insgesamt;20928;28314;4419;2682;1230;2490;10389;1968;18522;32751;8679;2349;4653;3078;6573;2715
2011;Landwirtschaft;Deutsche;männlich;1122;1629;195;339;42;105;537;315;1608;2061;537;159;543;354;603;288
2011;Landwirtschaft;Deutsche;weiblich;345;498;48;141;6;30;165;72;438;453;147;51;219;105;195;123
2011;Landwirtschaft;Deutsche;Insgesamt;1467;2124;243;480;48;135;702;387;2046;2514;684;210;762;459;798;408
2011;Landwirtschaft;Ausländer;männlich;18;3;3;0;0;3;6;0;9;30;9;0;-;0;3;-
2011;Landwirtschaft;Ausländer;weiblich;9;3;0;0;-;-;0;0;6;6;0;-;-;0;3;-
2011;Landwirtschaft;Ausländer;Insgesamt;24;6;6;0;0;3;6;0;15;36;9;0;-;0;3;-
2011;Landwirtschaft;Insgesamt;männlich;1137;1632;198;339;42;108;546;315;1620;2091;546;159;543;354;606;288
2011;Landwirtschaft;Insgesamt;weiblich;354;498;51;144;6;30;165;72;441;459;147;51;219;105;195;123
2011;Landwirtschaft;Insgesamt;Insgesamt;1491;2130;249;483;48;141;708;387;2061;2547;693;210;762;459;801;408
